Date,Sentiment,Sentiment High,Sentiment Low,News Volume,News Buzz
2014-02-23,1,5,-5,34,3
2014-02-24,1,4,-3,77,5
2014-02-25,-1,4,-5,79,2
2014-02-26,-2,2,-5,80,2
2014-02-27,-2,2,-5,82,5
2014-02-28,-1,3,-5,66,4
2014-03-01,1,4,-3,34,4
2014-03-02,-1,3,-4,20,4
2014-03-03,2,5,-3,93,8
2014-03-04,1,5,-3,98,6
2014-03-05,1,4,-4,42,2
2014-03-06,-1,3,-5,75,4
2014-03-07,1,5,-4,80,5
2014-03-08,2,5,-3,22,3
2014-03-09,1,4,-4,9,3
2014-03-10,1,5,-3,44,4
2014-03-11,1,4,-3,64,4
2014-03-12,1,4,-4,60,6
2014-03-13,2,5,-3,61,6
2014-03-14,-2,3,-5,38,3
2014-03-15,-1,4,-5,16,3
2014-03-16,-1,3,-3,15,4
2014-03-17,1,4,-3,41,6
2014-03-18,2,5,-3,99,9
2014-03-19,-1,4,-5,79,7
2014-03-20,1,4,-3,44,4
2014-03-21,1,4,-4,45,4
2014-03-22,1,5,-4,6,2
2014-03-23,3,5,-1,18,3
2014-03-24,-1,3,-5,125,10
2014-03-25,1,5,-3,89,6
2014-03-26,-1,4,-4,69,5
2014-03-27,1,5,-3,55,4
2014-03-28,2,5,-2,75,5
2014-03-29,-2,3,-5,28,4
2014-03-30,-3,2,-5,19,4
2014-03-31,-1,3,-5,80,8
2014-04-01,-1,3,-4,93,6
2014-04-02,1,4,-4,107,7
2014-04-03,1,4,-3,79,5
2014-04-04,1,5,-4,71,5
2014-04-05,1,5,-3,13,3
2014-04-06,-1,3,-4,15,3
2014-04-07,-2,3,-5,35,4
2014-04-08,-1,3,-5,89,6
2014-04-09,-1,4,-4,88,6
2014-04-10,-1,3,-4,61,4
2014-04-11,-1,3,-5,38,2
2014-04-12,-2,2,-5,36,4
2014-04-13,3,5,-1,8,3
2014-04-14,1,4,-4,40,5
2014-04-15,-1,4,-4,63,4
2014-04-16,1,5,-4,64,4
2014-04-17,2,5,-2,45,3
2014-04-18,-1,3,-5,48,3
2014-04-19,-2,2,-5,11,2
2014-04-20,2,5,-2,16,2
2014-04-21,1,4,-4,71,7
2014-04-22,1,4,-3,74,5
2014-04-23,-2,3,-5,104,9
2014-04-24,1,4,-4,368,10
2014-04-25,1,4,-4,171,5
2014-04-26,-1,3,-5,46,3
2014-04-27,1,4,-4,14,2
2014-04-28,-1,3,-4,57,2
2014-04-29,-2,3,-5,117,3
2014-04-30,1,5,-4,67,1
2014-05-01,1,4,-4,50,1
2014-05-02,-1,3,-5,48,1
2014-05-03,-3,-1,-5,96,3
2014-05-04,-2,2,-5,21,3
2014-05-05,1,4,-4,59,5
2014-05-06,1,4,-4,109,3
2014-05-07,-1,4,-4,50,1
2014-05-08,1,5,-4,45,1
2014-05-09,-1,4,-4,200,5
2014-05-10,1,4,-3,44,4
2014-05-11,-1,4,-5,14,3
2014-05-12,1,4,-3,70,3
2014-05-13,-1,3,-4,68,1
2014-05-14,1,5,-4,50,1
2014-05-15,-1,3,-4,44,1
2014-05-16,-2,3,-5,57,1
2014-05-17,-2,2,-5,60,2
2014-05-18,-1,3,-4,16,2
2014-05-19,1,5,-3,41,3
2014-05-20,1,5,-3,53,1
2014-05-21,1,5,-3,65,1
2014-05-22,1,4,-4,49,1
2014-05-23,-1,4,-5,38,1
2014-05-24,-2,3,-5,37,3
2014-05-25,4,5,3,6,2
2014-05-26,1,5,-3,20,2
2014-05-27,2,5,-2,64,3
2014-05-28,2,5,-3,82,4
2014-05-29,2,5,-3,184,9
2014-05-30,1,4,-4,87,4
2014-05-31,1,4,-3,31,3
2014-06-01,1,4,-2,13,3
2014-06-02,1,4,-3,128,8
2014-06-03,1,4,-3,139,7
2014-06-04,-1,4,-4,67,3
2014-06-05,-1,3,-5,77,3
2014-06-06,-1,3,-5,51,2
2014-06-07,-2,2,-5,32,3
2014-06-08,-1,4,-5,16,3
2014-06-09,-1,3,-5,96,7
2014-06-10,-1,4,-4,77,4
2014-06-11,1,4,-4,96,5
2014-06-12,2,5,-3,94,5
2014-06-13,1,5,-3,50,2
2014-06-14,1,5,-4,11,2
2014-06-15,3,5,-1,11,2
2014-06-16,-1,4,-4,36,3
2014-06-17,1,5,-3,97,5
2014-06-18,1,4,-3,78,4
2014-06-19,1,4,-4,77,4
2014-06-20,-2,3,-5,77,4
2014-06-21,2,5,-2,17,2
2014-06-22,2,5,-2,14,3
2014-06-23,-1,4,-5,63,5
2014-06-24,1,4,-4,76,4
